,Job Title,Company,Description
1363,Senior Accountant,ahma Rx,"You will be highly involved in financial aspects of the business, report to Management and be responsible for preparing and analyzing various financial records…"
1364,Primary Care Physician (Commncare/Mngd Care) - MD LICENCE RE...,NYC Health + Hospitals,"Under general direction, performs difficult and complex professional medical work in pediatric medicine and primary care."
1365,Clerical Associate - Level II-(Provisional Appointment and B...,NYC Health + Hospitals,"Answers the telephone, answers inquires and questions, and assists patients, doctors, department personnel, and hospital personnel, as needed."
1366,Psychiatric Physician Assistant,Weill Cornell Medicine,Responsible for coordination and direct patient care in the psychiatric inpatient setting including: conducting histories and physical exams; performing…
1367,Certified Home Health Aides with Weekend Availability Needed,Alvita Care,"Transportation to doctor's offices and other appointments.
Light housekeeping (laundry, vacuuming, etc.).
Flex spending medical benefit program."
1368,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
1369,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
1370,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
1371,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
1372,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
1373,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
1374,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
1375,Community Relations Specialist,Saint Dominic's Family Services,"Serve as liaison with members of the community, including residents, hospitals, clinics, schools, community groups and organizations, medical doctors and…"
1376,Clinical Pharmacy Manager – Transitions of Care,Mount Sinai,"Responsible for carrying out Clinical Pharmacy services with primary practice in the area of Transitions of Care.
How agents work to attain adequate therapy."
1377,Transcriptionist,Hudson Medical Group,"This individual will be working closely with physical therapists, doctors and medical staff in order to ensure the accurate and timely transcription of medical…"
1378,License Practical Nurse (LPN),Nursing Rehabilitation,"Calling the doctor with orders.
40 bed unit short term rehab.
Job Types: Full-time, Part-time."
1379,Physiatry Practice Opportunity - Associate Pain Doctor - Ast...,Health Plus Management,"Seeking part-time associate Dr. for a PM&R and Interventional Pain practice in Astoria, NY.
On-site services: general PMR consults, pain consults, EMG…"
1380,"Physician, Bureau of Tuberculosis Control",New York City DEPT OF HEALTH/MENTAL HYGIENE,"Act as a consultant to community doctors and other health care providers in all aspects of tuberculosis.
The New York City Bureau of Tuberculosis Control (BTBC)…"
1381,Senior Software Engineer (Full Stack),K Health,"Design and build the technical architecture required to support K Health's workflows.
Identify, design, and implement internal process improvements."
1382,Director of Marketing,Aedit,"We are looking to hire a Marketing Director who will be in charge of leading our company's marketing efforts.
The Marketing Director will drive AEDIT’s consumer…"
1383,Dental Assistant,Quentin Smile Dental,"Helping doctors during procedures (implants, surgeries, x-rays, veneers, root canals, etc).
There is definitely room to grow into full-time for the right…"
1384,Shift Nurse (LPN),"SeniorBridge, Inc.",As a shift nurse you will provide direct care to members and their families according to the established plan of care and provide a multidisciplinary approach…
1385,"Managing Optometrist - New York, NY - LensCrafters",Luxottica,The Managing Optometrist is the leader & business owner within the marketplace & organization by delivering the brand promise through key steps in the patient …
1386,Physician - Radiology - Full-time or part-time Breast Imager...,Mount Sinai Health System,Serve a diverse population and live in a highly desirable neighborhood with excellent school districts and numerous cultural activities.
1387,"Optometrist – Part-time – Brooklyn, NY (Mill Basin)",The Eye Parlor,"You'll use your clinical and interpersonal skills to provide high-quality vision care to our patients.
This position is a part-time opportunity with a typical…"
1388,Senior RN Supervisor - Registered Nurse - Home Healthcare,Compass Healthcare Consulting & Placement,"Agency is very interested in an RN who understands Clinical Compliance, Scheduling and tracking of Doctor's orders.
Licensed registered nurse in New York."
1389,Licensed Practical Nurse (LPN),United Staffing Solutions,"Assisting doctors and registered nurses.
Licensed Practical Nurse – LPN – New Grads Welcome – Per Diem All Shifts*.
Weekly pay and direct deposit available."
1390,Physician job: Anesthesiologist for an ASC in New York - CPH...,CH Healthcare,"Regional training would be a plus.
There will be no call, nights, or weekends.
In addition to a competitive compensation, you will also be offered health…"
1391,Registered Nurse (RN) - Critical Care: ICU,Advanced Travel Nursing,"Respond to medical emergencies and alert the appropriate doctors.
The Intensive Care Unit (ICU) Registered Nurse delivers vital care to seriously ill or injured…"
1392,Doctor of Veterinary Medicine – Sign-on bonus and/or relocat...,Banfield Pet Hospital,"Doctor of Veterinary Medicine Banfield aspires to be a practice where as a team, we make a positive impact on pet health care in hospitals, communities, and…"
1393,Physician job: ASC and Office-Based Anesthesia Position in N...,CH Healthcare,"The incoming physician will rotate between office-based procedure suites and ambulatory surgical centers.
Your schedule will be Monday through Friday, and call…"
1394,Physician job: Primary Care Physician Needed in New York - C...,CH Healthcare,"You will have the option to work 8-, 10-, or 12-hour days.
You will see an average of 3 - 4 patients per hour."
1395,Physician job: Locum Tenens Job in New York for a Urologist...,CH Healthcare,"We can match you with all types of facilities that use locum tenens doctors to relieve physician burnout, maintain patient satisfaction, and stay fully staffed…"
1396,LPN- Licenced Practical Nurse,United Health Systems,"Their primary job duty is to provide routine care, observe patients' health, assist doctors and registered nurses, and communicate instructions to patients…"
1397,Physician job: Family Medicine Job Opening in NY - CPH# JOB-...,CH Healthcare,"Eligible candidates are board certified or board eligible.
If you do not currently hold a license in NY, CompHealth's licensing team can help you with the…"
1398,Travel RN-Nurse Manager/Infection Control Nurse,All Medical Personnel | Nursing & Allied Staffing,"Oversee paperwork such as medical records and disciplinary actions.
5 years of recent surgical nursing experience.
All Medical Personnel | Nursing."
1399,Registered Nurse - RN - Critical Care: ICU,Advanced Medical,"Respond to medical emergencies and alert the appropriate doctors.
The Intensive Care Unit (ICU) Registered Nurse delivers vital care to seriously ill or injured…"
1400,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
1401,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
1402,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
1403,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
1404,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
1405,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
1406,Veterinarian Associate Radiologist,BluePearl Veterinary Partners,"Schedule: Regular Full-time regular.
Examine, diagnose, treat, control, and prevent.
Diseases, illnesses, and injuries in animals by combining personal…"
1407,Urogynecologist- Female Pelvic Medicine and Reconstructive S...,NYU Langone Health,Departments of Urology and Obstetrics & Gynecology are looking for candidates who are fellowship-trained and board-certified FPMRS.
1408,Lead Clinical Laboratory Technologist - Chemistry - Full Tim...,Mount Sinai,"Excellent in oral and written communication since there is a daily communication with external public like doctors, nurses, medical secretaries, etc."
1409,Anesthesiologist,Physician Affiliate Group of NY,"Determines and prescribes kinds of anesthetics and procedures to be employed in various categories of cases.
Recommends suitable anesthesia, advises on dosages…"
1410,"Psychiatrist 1 and Psychiatrist 2, Kirby Forensic Psychiatri...","Mental Health, Office of","As medical doctors, psychiatrists are responsible for ensuring that all services are integrated to promote mental and physical health and recovery."
1411,Veterinarian,Destination Pet,"Sign-on BONUS & Relocation BONUS available!.
All Health Benefits are 100% paid for by Destination Pet for the Veterinarian and their dependents."
1412,Senior Data Engineer,Capsule,"Build scalable, fault-tolerant batch and realtime data pipelines to power Capsule's consumer and internal applications, operational workflows, and business…"
1413,Registered Nurse- MICU - Full Time - Night,NewYork-Presbyterian Hospital,"RN –MICU –-FT- night Shift.
Across NewYork-Presbyterian Queens, nurses bring compassion, talent and quality to patient care.
Bachelor’s Degree in Nursing."
1414,Staff Attorney - Immigration Law Project,Safe Horizon,"We will lead the way by empowering victims of domestic violence, child abuse, sexual assault and human trafficking to move from crisis to confidence."
1415,Certified Home Health Aides Needed For Live-In Cases in NYC,Alvita Home Care- New Jersey,"Transportation to doctor's offices and other appointments.
Long shift and live-in availability prioritized!
Light housekeeping (laundry, vacuuming, etc.)."
1416,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
1417,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
1418,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
1419,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
1420,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
1421,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
1422,Family Medicine Physician,Heal,We are focused on creating a revolutionary patient-centric healthcare model that leverages technology in order to generate positive healthcare outcomes and…
1423,Veterinarian - Still Hiring in the time of COVID,Independent Vets,"Unlimited Vacation - never ask for permission.
Continuing Education allowance (includes additional PTO).
Short-term and long-term disability."
1424,Registered Dental Assistant,Diamond Braces,"Makes entries in patient files as directed by the doctor.
Taking diagnostic records including alginate impressions, intra-oral scans, x-rays and digital photos."
1425,Speech Language Pathologist,Extended Home Care,"To provide service to patients who have speech and language problems, as ordered by the primary medical doctor.
A master degree is required."
1426,"Corporate Counsel, Commercial Brand Attorney",Intercept Pharmaceuticals,"Food and Drug Administration (""FDA"") in May 2016 and the Company commenced sales and marketing of Ocaliva in the United States shortly after receiving approval."
1427,Part Time OBGYN Medical Assistant,BellaDonna Medical PC,"\*Assist doctors and midwife with examination and documentation using EMR.
We are seeking a qualified part-time medical assistant to join our practice."
1428,Dental Assistant,"Joseph Lichter, D.D.S, P.C.","Act as the liaison for communication between patients, doctors, and front desk when needed.
S, P.C., you will help to elevate the dental aspect of every Patient…"
1429,Mental Health Clinician - FFS - Brooklyn,YAI/National Institute for People with Disabilitie...,"Being part of a multidisciplinary team (medical doctors, nurses, psychiatrists, etc).
Providing individual, family or collateral psychotherapy to people with…"
1430,Associate Veterinarian,Banfield,For a limited time we are offer incentives which include sign on bonus and or relocation.
1431,Application Security Engineer,CLEAR - Corporate,"Our team performs everything from biometric and Web security testing to remediation, as well as creating automated security products, enabling stakeholders…"
1432,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
1433,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
1434,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
1435,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
1436,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
1437,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
1438,Clinical Director of Pediatrics - Ryan Health Women & Childr...,Ryan Health,"Establish, implement, and maintain the highest standards of professional medical care for pediatric patients (birth to 21 years of age) and provide the clinical…"
1439,School Physical Therapist- Temporary Coverage (6-9 months),YAI - Seeing Beyond Disability,The Staff Physical Therapist will deliver optimal patient care by providing prescribed Physical Therapy programs in the educational and home setting.
1440,Senior Platform Security Engineer,CLEAR - Corporate,"The Senior Platform Security Engineer will be responsible for coordinating with all aspects of the company to assess, design, and implement various security…"
1441,Certified Home Health Aide,Preferred Gold,"Due to the physical demands of this job, if you have 3 or longer sick days, return to work requires a doctor’s note stating that you may return to work."
1442,Staff Attorney (Full or Part-Time),The Family Center,"In keeping with our commitment to holistic representation, all LWI attorneys represent clients in all four practice areas."
1443,"Veterinarian (DVM) - Full Time | Brooklyn, NY",Veterinary Practice Partners,"In addition to diagnostic and preventative services, our hospitals are equipped with digital radiography, digital dental radiography, and in-house labs."
1444,Physician – Gynecologic Surgeon- Elmhurst/Bethpage,AdvantageCare Physicians,"Come join us in pursuit of high quality outpatient care, utilizing the latest developments and advanced surgical techniques and treatment."
1445,Chief of Staff Doctor,Banfield Pet Hospital,"1-3 years coaching and developing associate doctors required.
Identify potential “bottlenecks” and formulate solutions to remove barriers in medical operations…"
1446,Veterinarian,VetCor,"We support our veterinarians with superior salary, benefits including health and dental, 401(k), CE allowance, vacation, dues, liability coverage, outstanding…"
1447,LPN Supervisor - NY,305 West End Assisted Living,"Must be caring, reliable and observant with an understanding of MARs and doctors’ orders.
At the present time we are looking for a caring, nurturing LPN…"
1448,Part Time Medical Assistant in gynecology office needed,"Joan Berman, M.D.","Answering phones, making appointments and taking messages for the doctors.
Medical assistant preferably with front desk experience."
1449,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
1450,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
1451,Supervising Attorney - Detained Program,KIND Inc,"Juris doctor and admittance to local bar.
KIND’s social services program ensures that migrant and refugee children – who have often endured trauma – receive…"
1452,Senior Performance & Monitoring Engineer,Weill Cornell Medicine,"Ensure the infrastructure and applications under management are delivering an amazing user experience.
This role will be responsible for modernizing toolsets…"
1453,Registered Nurse,Acacia Network,"Prepares patients to be seen by doctors or specialists.
The RN will ensure clinical quality, service quality and assist Primary Care Administrator with budget…"
1454,"LCSW - Remsen, Brooklyn",YAI/National Institute for People with Disabilitie...,"Being part of a multidisciplinary team (medical doctors, nurses, psychiatrists etc).
This position is perfect for a candidate who wants to further their…"
1455,Software Engineering Team Lead,K Health,"We're looking for a Engineering Team lead to help guide our US efforts.
Mentor and advise your team in code review, pair programming and more."
1456,Director of Security Architecture - HBO Max,HBO Max,"You will ensure that our products are secure against malicious threats by leading security architecture, red team and incident response for the HBO Digital…"
1457,Physical Therapist-Certified Hand Therapist,SPEAR Physical Therapy,"In-house CEU Opportunities for Monthly Manual Therapy Workshops, Physician Shadowing, Lectures, and SPEAR's proprietary, award-winning SPEAR Future Leaders…"
1458,Associate Veterinarian: University Animal Hospital,Amerivet,"The staff has consistently demonstrated compassionate, loving and reasonably-priced medical care for dogs and cats living on the Upper East Side of NYC."
1459,ED/MD - Head of Mortgage Credit Risk (Underwriting/Policy/Go...,Morgan Stanley,"Credit Risk Management (CRM) evaluates credit risk transactions and approves, rejects or modifies them considering the availability and appropriateness of…"
1460,Attending Physician-Anesthesiologist,Physician Affiliate Group of NY,"Determines and prescribes anesthetics and procedures to be employed in various categories of cases.
Advises Anesthetists and Surgeons in cases where age or…"
1461,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
1462,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
1463,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
1464,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
1465,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
1466,Part Time Medical Assistant in gynecology office needed,"Joan Berman, M.D.","Answering phones, making appointments and taking messages for the doctors.
Medical assistant preferably with front desk experience."
1467,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
1468,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
1469,Assisted Living RN,Advanced Care Placement Services,"The RN will work under the direct supervision of the medical doctor.
They are responsible for overseeing the LPN’s and CNA’s by designating the nursing…"
1470,Senior Business Intelligence & Data Science Analyst,CheckedUp,"Location: New York City; Full Time.
He or She plays an important in senior-level decision making and improving company profitability by applying and analytical…"
1471,Director Customer Marketing,Sermo,"Reporting to the Marketing Director, in this role you will focus on developing and managing customer marketing strategies and campaigns across various channels…"
1472,Strategic Data Analytics & Knowledge Engagement Manager (cal...,Medidata Solutions,"In this role, you will engage with clients throughout projects to ensure the best analytical approach, successful delivery and client satisfaction."
1473,Psychiatrist; 4166-601-N,Catholic Charities Brooklyn and Queens,"Each psychiatrist is responsible for providing state of the art, professional and respectful psychiatric services to the client population."
1474,Oncology Clinical Nurse Educator (Per Diem) - Northeast - 26...,IQVIA,"Provide education programs for professional staff, i.e. doctors, nurses, other key healthcare staff through 1:1 presentation, round table discussions, and…"
1475,Registered/Certified Dental Assistant,Diamond Braces,"Makes entries in patient files as directed by the doctor.
Taking diagnostic records including alginate impressions, intra-oral scans, x-rays and digital photos."
1476,Attending Physician-Anesthesiology,Physician Affiliate Group of NY,"Determines and prescribes kinds of anesthetics and procedures to be employed in various categories of cases.
Recommends suitable anesthesia, advises on dosages…"
1477,Nurse Manager,The New Jewish Home,The Nurse Manager is responsible for assuring approved quality standards of care and compliance with established policies and procedures in the provision of…
1478,"Physician - Primary Care - Gotham Health, Cumberland & Willi...",Physician Affiliate Group of NY,"NYC Health + Hospitals/Gotham Health, Cumberland & Williamsburg staff partner to provide multiple programs in the community including the Babygram Program,…"
1479,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
1480,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
1481,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
1482,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
1483,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
1484,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
1485,"Veterinarian (DVM) - Full Time | Brooklyn, NY",Pure Paws Veterinary Care,"In addition to diagnostic and preventative services, our hospitals are equipped with digital radiography, digital dental radiography, and in-house labs."
1486,Senior Software Engineer,Signify Health,The Senior Software Engineer will be developing highly scalable enterprise apps and web services that are key part of Signify Health's ecosystem.
1487,Nurse Manager-Mother Baby,NewYork-Presbyterian Hospital,"Across NewYork-Presbyterian Queens, nurses bring compassion, talent and quality to patient care.
Coordinate all aspects of clinical care to ensure the delivery…"
1488,Clinical Director of Obstetrics and Gynecology,Ryan Health,"Establish, implement, and maintain the highest standards of professional medical care for OB/GYN patients and provide the clinical leadership in identifying and…"
1489,Nurse Practitioner - Pediatrics-Neonatology,Physician Affiliate Group of NY,"Responsible for giving acute medical care to these infants especially in the absence of the doctor.
The NICU Nurse Practitioner provides primary care to…"
1490,CHIEF (MD) - OTOLARYNGOLOGY,The Brookdale Hospital Medical Center,"Supervises the daily activities within the unit.
Considered the head of the unit with responsibility for the enforcement of medical standards throughout the…"
1491,Senior UX Designer,"Remedy BPCI Partners, LLC.","Facilitate design thinking exercises with our business leadership to understand and visualize the underlying operational mechanics and business objectives, as…"
1492,Veterinary Technician,Cornerstone Veterinary Hospital of Clifton Park,"Essential Responsibilities: Surgical prep and anesthesia monitoring, dental scaling and polishing along with taking digital dental x-rays, venipuncture, IV…"
1493,CIB - Treasury Services Industry Sales Executive Consumer Re...,JP Morgan Chase,"The Treasury Services Industry Sales Executive role is a manager and individual contributor role, primarily responsible for developing business across the…"
1494,Director / MD – Americas Buy Side of Sales & Relationship Ma...,BNP Paribas,"The Group helps all its clients (individuals, community associations, entrepreneurs, SMEs, corporates and institutional clients) to realize their projects…"
1495,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
1496,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
1497,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
1498,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
1499,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
1500,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
1501,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
1502,"Mental Health Clinician (LMSW), Full-Time",YAI/National Institute for People with Disabilitie...,"Being part of a multidisciplinary team (medical doctors, nurses, psychiatrists, etc).
The YAI Center for Specialty Therapy is seeking a full time Mental Health…"
1503,"Registered Nurse, Health Services","Sheltering Arms Children and Family Services, Inc.","This is a full-time position, three 12-hour shifts per week, 7am-7pm.
No overnight hours required however there is the option of overtime."
1504,Consumer Banking Attorney - Vice President,Apple Bank for Savings,"The position will work closely with the Legal Department, both with the Deputy General Counsel of the Consumer Banking group, and Head of Export Credit and…"
1505,Veterinarian,Small Door Vet,"**We are offering a SIGN ON BONUS for the Staff Veterinarian role.
Oversee the implementation of clinical protocols to achieve a high standard of excellence;"
1506,Unit Manager,King David Center for Nursing and Rehabilitation ·...,"Assures completion and proper follow through of doctors call list daily.
Twenty four hour responsibility for all nursing care on unit."
1507,Medical Director,VCA Animal Hospitals,"WOOF University, offering abundant CE for Doctors and Staff.
We offer competitive compensation and great benefits for eligible employees, including medical…"
1508,"Supervising Nurse, Bureau of School Health",New York City DEPT OF HEALTH/MENTAL HYGIENE,The Division of Family and Child Health (DFCH) of the New York City Department of Health and Mental Hygiene is charged with the creation and oversight of…
1509,"Group Leader/Activity Specialist, After School","Sheltering Arms Children and Family Services, Inc.","A special emphasis on Science, Technology, Engineering, and Math (STEM) programs ensures students gain the technical skills and insights they need to lead as…"
1510,"Area Sales Director, Oncology - New York",Ambry Genetics,"The successful Area Sales Director will need a level of sophistication to handle customer relationships with industry thought leaders, manage the dynamics…"
1511,"Family Medicine Physician - Stuyvesant Town - Manhattan, NY",Mount Sinai,"Benefit from the educational, research, and clinical programs of a nationally ranked Medical School.
Fully integrated Electronic Health Record."
1512,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
1513,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
1514,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
1515,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
1516,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
1517,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
1518,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
1519,"Program Manager, CAMBA Legal Services",CAMBA,"CLS provides free civil legal services to low-income New Yorkers in the areas of consumer law, foreclosure prevention, immigration, housing law, and domestic…"
1520,"Supervising Attorney, ILP",Safe Horizon,"We will lead the way by empowering victims of domestic violence, child abuse, sexual assault and human trafficking to move from crisis to confidence."
1521,Didactic Coordinator (Medical Distinguished Lecturer) - Phys...,American Academy of Physician Assistants,Our innovative curriculum allows students to complete both their undergraduate Bachelor of Science (BS) and Doctor of Medicine (MD) degrees in seven years.
1522,Physical Therapist - Medicine/Rehab,Physician Affiliate Group of NY,"Assess each patient and develop an appropriate treatment plan with measurable goals and time frames.
Prepare and submit clinical and progress summaries based on…"
1523,Associate Veterinarian,North Country Veterinary Services - Pulaski,"A diverse caseload and a wide range of experience within the practice (2-39 years) allow for a team approach to quality medicine.
O Laser Class IV treatment."
1524,Director of Nursing,Advanced Care Placement Services,"Interacting with doctors, patients and family members.
Supervising and reviewing nursing staff.
Reporting to high-level staff members."
1525,Nurse Manager Critical Care- MICU,NewYork-Presbyterian Hospital,"Nurse Manager - RN – CCU/MICU- Day Shift.
Across NewYork-Presbyterian Queens, nurses bring compassion, talent and quality to patient care."
1526,Auto Glass Technician,Glass Doctor of North Staten Island,"Repair and replacement of auto glass according to specified procedures.
Insure the efficient use of materials and maintain adequate stock of installation…"
1527,"Forensic Telepsychiatry positions, Central New York Psychiat...","Mental Health, Office of","As medical doctors, psychiatrists are responsible for ensuring that all services are integrated to promote mental and physical health and recovery."
1528,Nurse/RN,SCO Family of Services,"Bring laboratory reports to the attention of doctor for review and signature.
Adhere to medication safety practices and processes in accordance with state…"
1529,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
1530,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
1531,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
1532,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
1533,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
1534,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
1535,Part Time Medical Assistant in gynecology office needed,"Joan Berman, M.D.","Answering phones, making appointments and taking messages for the doctors.
Medical assistant preferably with front desk experience."
1536,"Global Solution Sales Director, Research Intelligence",RELX Group,"Global Solution Sales Director is responsible for current year and long-term revenue growth of Research Intelligence Solutions portfolio ( Pure, Mendeley Data…"
